Classification,Band,Band Upper Bound,Sex,Name,Role,Department
On-air talent and contributors,£150000 - £199999,199999,Female,Laurie Brett,Actor,TV Scripted (Drama and Comedy)
On-air talent and contributors,£150000 - £199999,199999,Female,Letitia Dean,Actor,TV Scripted (Drama and Comedy)
On-air talent and contributors,£150000 - £199999,199999,Female,Tameka Empson,Actor and contributor,TV Scripted (Drama and Comedy)
On-air talent and contributors,£150000 - £199999,199999,Male,Guy Henry,Actor,TV Scripted (Drama and Comedy)
On-air talent and contributors,£150000 - £199999,199999,Female,Linda Henry,Actor,TV Scripted (Drama and Comedy)
On-air talent and contributors,£150000 - £199999,199999,Male,Scott Maslen,Actor,TV Scripted (Drama and Comedy)
On-air talent and contributors,£150000 - £199999,199999,Female,Diane Parish,Actor,TV Scripted (Drama and Comedy)
On-air talent and contributors,£150000 - £199999,199999,Male,Hugh Quarshie,Actor,TV Scripted (Drama and Comedy)
On-air talent and contributors,£150000 - £199999,199999,Female,Jemma Redgrave,Actor,TV Scripted (Drama and Comedy)
On-air talent and contributors,£150000 - £199999,199999,Male,Tim Roth,Actor,TV Scripted (Drama and Comedy)
On-air talent and contributors,£150000 - £199999,199999,Female,Catherine Shipton,Actor,TV Scripted (Drama and Comedy)
On-air talent and contributors,£150000 - £199999,199999,Female,Gillian Taylforth,Actor,TV Scripted (Drama and Comedy)
On-air talent and contributors,£150000 - £199999,199999,Female,Lacey Turner,Actor,TV Scripted (Drama and Comedy)
On-air talent and contributors,£200000 - £249999,249999,Male,Peter Capaldi,Actor,TV Scripted (Drama and Comedy)
On-air talent and contributors,£200000 - £249999,249999,Male,Danny Dyer,Actor,TV Scripted (Drama and Comedy)
On-air talent and contributors,£200000 - £249999,249999,Female,Emilia Fox,Actor,TV Scripted (Drama and Comedy)
On-air talent and contributors,£200000 - £249999,249999,Male,David Jason,Actor,TV Scripted (Drama and Comedy)
On-air talent and contributors,£200000 - £249999,249999,Female,Rosie Marcel,Actor,TV Scripted (Drama and Comedy)
On-air talent and contributors,£200000 - £249999,249999,Male,Adam Woodyatt,Actor,TV Scripted (Drama and Comedy)
On-air talent and contributors,£250000 - £299999,299999,Female,Amanda Mealing,Actor,TV Scripted (Drama and Comedy)
On-air talent and contributors,£350000 - £399999,399999,Male,Derek Thompson,Actor,TV Scripted (Drama and Comedy)
On-air talent and contributors,£150000 - £199999,199999,Female,Darcey Bussell,Contributor,TV Non-Scripted (Factual and Entertainment)
On-air talent and contributors,£150000 - £199999,199999,Female,Mel Giedroyc,Presenter,TV Non-Scripted (Factual and Entertainment)
On-air talent and contributors,£150000 - £199999,199999,Male,Craig Horwood,Contributor,TV Non-Scripted (Factual and Entertainment)
On-air talent and contributors,£150000 - £199999,199999,Male,Paul Martin,Presenter,TV Non-Scripted (Factual and Entertainment)
On-air talent and contributors,£150000 - £199999,199999,Male,Simon Schama,Presenter,TV Non-Scripted (Factual and Entertainment)
On-air talent and contributors,£200000 - £249999,249999,Male,Gary Barlow,Contributor,TV Non-Scripted (Factual and Entertainment)
On-air talent and contributors,£200000 - £249999,249999,Male,Len Goodman,Contributor,TV Non-Scripted (Factual and Entertainment)
On-air talent and contributors,£200000 - £249999,249999,Female,Dannii Minogue,Contributor,TV Non-Scripted (Factual and Entertainment)
On-air talent and contributors,£200000 - £249999,249999,Male,Bruno Tonioli,Contributor,TV Non-Scripted (Factual and Entertainment)
On-air talent and contributors,£200000 - £249999,249999,Male,Alan Yentob,Presenter,TV Non-Scripted (Factual and Entertainment)
On-air talent and contributors,£300000 - £349999,349999,Male,Nick Knowles,Presenter,TV Non-Scripted (Factual and Entertainment)
On-air talent and contributors,£350000 - £399999,399999,Female,Tess Daly,Presenter,TV Non-Scripted (Factual and Entertainment)
On-air talent and contributors,£400000 - £449999,449999,Female,Alex Jones,Presenter,TV Non-Scripted (Factual and Entertainment)
On-air talent and contributors,£150000 - £199999,199999,Male,Kamal Ahmed,Correspondent,News and Current Affairs
On-air talent and contributors,£150000 - £199999,199999,Male,Jeremy Bowen,Correspondent,News and Current Affairs
