date_time,subject,subject_count
08/06/2017 22:00, BBC Coverage,43
08/06/2017 22:00, Conservative Seats,25
08/06/2017 22:00, ITV Coverage,2
08/06/2017 22:00, Labour Seats,2
08/06/2017 22:00, SNP Seats,1
08/06/2017 22:00," ""coalitionofchaos"" OR #coalitionofchaos",1
08/06/2017 22:00," ""exit poll"" OR #exitpoll",856
08/06/2017 22:00," ""for the many"" OR #forthemany",15
08/06/2017 22:00," ""hung parliament"" OR #hungparliament",208
08/06/2017 22:00," ""strong and stable"" OR #strongandstable",39
08/06/2017 22:01, BBC Coverage,51
08/06/2017 22:01, Conservative Seats,38
08/06/2017 22:01, ITV Coverage,4
08/06/2017 22:01, Labour Seats,92
08/06/2017 22:01," ""coalitionofchaos"" OR #coalitionofchaos",4
08/06/2017 22:01," ""exit poll"" OR #exitpoll",1422
08/06/2017 22:01," ""for the many"" OR #forthemany",23
08/06/2017 22:01," ""hung parliament"" OR #hungparliament",390
08/06/2017 22:01," ""strong and stable"" OR #strongandstable",33
08/06/2017 22:02, BBC Coverage,52
08/06/2017 22:02, Conservative Seats,28
08/06/2017 22:02, ITV Coverage,11
08/06/2017 22:02, Labour Seats,173
08/06/2017 22:02, Lib Dem Seats,1
08/06/2017 22:02," ""coalitionofchaos"" OR #coalitionofchaos",3
08/06/2017 22:02," ""exit poll"" OR #exitpoll",1355
08/06/2017 22:02," ""for the many"" OR #forthemany",34
08/06/2017 22:02," ""hung parliament"" OR #hungparliament",333
08/06/2017 22:02," ""strong and stable"" OR #strongandstable",50
08/06/2017 22:03, BBC Coverage,60
08/06/2017 22:03, Conservative Seats,42
08/06/2017 22:03, ITV Coverage,13
08/06/2017 22:03, Labour Seats,155
08/06/2017 22:03, SNP Seats,1
08/06/2017 22:03," ""coalitionofchaos"" OR #coalitionofchaos",4
08/06/2017 22:03," ""exit poll"" OR #exitpoll",1568
08/06/2017 22:03," ""for the many"" OR #forthemany",35
08/06/2017 22:03," ""hung parliament"" OR #hungparliament",356
08/06/2017 22:03," ""strong and stable"" OR #strongandstable",67
08/06/2017 22:04, BBC Coverage,91
08/06/2017 22:04, Conservative Seats,30
08/06/2017 22:04, ITV Coverage,17
08/06/2017 22:04, Labour Seats,147
08/06/2017 22:04," ""coalitionofchaos"" OR #coalitionofchaos",1
08/06/2017 22:04," ""exit poll"" OR #exitpoll",1506
08/06/2017 22:04," ""for the many"" OR #forthemany",34
