objectid,wd18cd,wd18nm,wd18nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
3143,E05005495,Asfordby, ,471291,319906,-0.94471002,52.77209854,10582652.86,18601.26033
3144,E05005496,Bottesford, ,480832,339389,-0.79848999,52.94580078,27001111.87,27973.21346
3145,E05005497,Croxton Kerrial, ,481553,328878,-0.79040003,52.8512001,75897257.45,53282.44164
3146,E05005498,Frisby-on-the-Wreake, ,469099,321325,-0.97689003,52.78509903,49151678.6,42477.16176
3147,E05005499,Gaddesby, ,475671,314321,-0.88107997,52.72129822,45138444.41,44411.72838
3148,E05005500,Long Clawson and Stathern, ,475620,330505,-0.87809998,52.86669922,60248814.14,44597.4129
3149,E05005501,Melton Craven, ,476646,318253,-0.86572999,52.75650024,3265090.818,8788.875813
3150,E05005502,Melton Dorian, ,473968,317568,-0.90556002,52.7507019,4991886.859,12148.79861
3151,E05005503,Melton Egerton, ,473900,319358,-0.90616,52.76679993,3564220.548,9756.169898
3152,E05005504,Melton Newport, ,476404,320712,-0.86874998,52.77859879,4945881.043,14435.52115
3153,E05005505,Melton Sysonby, ,474464,321176,-0.89739001,52.78310013,3682084.324,9459.463733
3154,E05005506,Melton Warwick, ,475757,317338,-0.87910998,52.74840164,2612250.645,8541.705538
3155,E05005507,Old Dalby, ,469769,324395,-0.96631002,52.81259918,34672112.16,38845.79522
3156,E05005508,Somerby, ,476761,310651,-0.86580002,52.68809891,45118144.19,47747.11684
3157,E05005509,Waltham-on-the-Wolds, ,477894,323560,-0.84597999,52.80400085,30263121.01,31793.30147
3158,E05005510,Wymondham, ,483780,320265,-0.75954002,52.77349854,80245810.14,50176.11074
